heading,subskill,jd_freq,pct_of_jds,weighted_score,member_phrase_count,member_phrases,source_type_mix,example_files
Learning design & digital learning,Instructional design,22,0.22,34.5,5,instructional design | learning principles | design expertise | design process | learning theories,market_phrase | taxonomy_match,
Learning design & digital learning,Learning architecture & programme design,16,0.16,21.75,6,learning programmes | learning products | end-to-end learning design | scenario-based learning | learning journeys | programme design,market_phrase,
Learning design & digital learning,Digital learning production,11,0.11,16.5,5,engaging digital learning experiences | creating digital learning content | elearning development | courseware and media | outcome-driven elearning,market_phrase,
Learning design & digital learning,Learning needs analysis,6,0.06,6.0,2,learning needs analysis | learner-centred design,market_phrase,
Stakeholder management & collaboration,Stakeholder management,22,0.22,31.5,6,stakeholder management | stakeholder engagement | senior stakeholders | external stakeholders | internal stakeholders | technical stakeholders,market_phrase | taxonomy_match,
Stakeholder management & collaboration,Cross-functional collaboration,11,0.11,10.5,1,cross-functional collaboration,market_phrase,
Stakeholder management & collaboration,Performance consulting,8,0.08,12.0,4,subject matter expertise | business needs analysis | business objectives | client challenge translation,market_phrase,
Stakeholder management & collaboration,SME collaboration,8,0.08,8.0,2,subject matter experts | SME collaboration,market_phrase,
Stakeholder management & collaboration,Client relationship management,7,0.07,6.0,2,client engagement | client relationships,market_phrase | taxonomy_match,
Stakeholder management & collaboration,Business alignment,5,0.05,5.5,1,business goals alignment,market_phrase,
Strategy & capability development,Leadership & talent development,9,0.09,18.0,4,leadership development | talent development | development programmes | career development,market_phrase,
Strategy & capability development,Product strategy & product development,7,0.07,10.0,4,product development | software development | product strategy | agile/scrum development,market_phrase,
Strategy & capability development,Organisational development & learning culture,7,0.07,6.0,3,continuous learning culture | learning culture | organisational development,market_phrase,
Strategy & capability development,Capability development,7,0.07,5.0,2,capability building | capability development,market_phrase,
Strategy & capability development,Learning strategy,6,0.06,6.0,3,learning strategy | strategic goals | strategic mindset,market_phrase | taxonomy_match,
Learning platforms & learning tech,Learning platform ecosystem,21,0.21,29.25,6,LMS platforms | learning platforms | learning systems | LMS/LXP ecosystem | platform operations | learning management systems,market_phrase | taxonomy_match,
Learning platforms & learning tech,Emerging learning technology,6,0.06,9.0,3,emerging technologies | new technologies | technology stacks,market_phrase,
Learning platforms & learning tech,Standards & interoperability,5,0.05,8.0,1,SCORM/xAPI,market_phrase,
Learning platforms & learning tech,LMS / LXP administration,4,0.04,9.0,3,LMS administration | Moodle-based LMS | Totara administration,market_phrase,
Project delivery & prioritisation,Multi-project management & prioritisation,20,0.2,18.0,1,multiple project management,market_phrase,
Project delivery & prioritisation,Project management,10,0.1,12.0,1,project management,market_phrase | taxonomy_match,
Project delivery & prioritisation,Deadline & time management,7,0.07,12.0,2,deadline management | time management,market_phrase | taxonomy_match,
Project delivery & prioritisation,Change management,4,0.04,2.0,1,change management,market_phrase | taxonomy_match,
Project delivery & prioritisation,Delivery coordination,2,0.02,2.0,1,content delivery coordination,market_phrase,
"Quality, standards & continuous improvement",Attention to detail,11,0.11,14.0,1,attention to detail,market_phrase | taxonomy_match,
"Quality, standards & continuous improvement",Quality assurance & standards,10,0.1,13.5,4,quality assurance | quality standards | industry standards | accessibility standards,market_phrase | taxonomy_match,
"Quality, standards & continuous improvement",Continuous improvement,8,0.08,12.0,2,continuous improvement | process improvements,market_phrase,
"Quality, standards & continuous improvement",Quality delivery,5,0.05,7.0,2,high-quality work | high-quality educational outputs,market_phrase,
"Quality, standards & continuous improvement",Risk management,2,0.02,4.0,1,risk management,market_phrase | taxonomy_match,
"Coaching, facilitation & training delivery",Training delivery,13,0.13,11.75,6,compliance training | effective training delivery | software training | training consulting | sales training | technical training,market_phrase,
"Coaching, facilitation & training delivery",Coaching & mentoring,8,0.08,12.5,2,coaching | mentoring,market_phrase | taxonomy_match,
"Coaching, facilitation & training delivery",Training content,3,0.03,4.0,1,training content,market_phrase,
"Coaching, facilitation & training delivery",Facilitation,2,0.02,6.0,2,facilitation skills | structured problem-solving facilitation,market_phrase,
Communication,Core communication,21,0.21,23.5,1,communication,taxonomy_match,
Communication,Writing & verbal communication,6,0.06,9.5,2,writing | written and verbal communication,market_phrase | taxonomy_match,
Analytics & problem solving,Problem solving,11,0.11,16.0,2,problem solving | solving problems,market_phrase | taxonomy_match,
Analytics & problem solving,Data-driven decision making,8,0.08,8.5,1,data-driven decision making,market_phrase,
Analytics & problem solving,Learning analytics,5,0.05,2.5,1,learning analytics,market_phrase,
Analytics & problem solving,Insight & skills analysis,4,0.04,4.5,2,market insight | skills-gap analysis,market_phrase | taxonomy_match,
Authoring tools & multimedia production,Authoring tools,14,0.14,16.5,2,authoring tools | content authoring,market_phrase,
Authoring tools & multimedia production,Articulate toolchain,9,0.09,8.5,3,Articulate Storyline | Articulate 360 | Articulate Rise,market_phrase,
Authoring tools & multimedia production,Adobe & creative tools,6,0.06,4.5,1,Adobe Creative Cloud/Suite,market_phrase | taxonomy_match,
Authoring tools & multimedia production,Graphic & visual design,5,0.05,6.0,2,graphic design | creative design,market_phrase | taxonomy_match,
Authoring tools & multimedia production,Multimedia & video production,4,0.04,4.0,2,multimedia production | video editing,market_phrase | taxonomy_match,
AI capability,Applied AI in workflow,7,0.07,13.0,4,AI application in L&D | AI-enabled solutions | agentic AI | AI-driven tools,market_phrase,
AI capability,AI tools literacy,6,0.06,8.0,1,AI tools literacy,market_phrase,
