heading,subskill,phrase,phrase_jd_freq,phrase_weighted_score,source_type_mix
Learning design & digital learning,Digital learning production,engaging digital,4,4.0,market_phrase
Learning design & digital learning,Digital learning production,creating digital learning,3,4.0,market_phrase
Learning design & digital learning,Digital learning production,elearning development,3,3.0,market_phrase
Learning design & digital learning,Digital learning production,courseware and media,2,3.0,market_phrase
Learning design & digital learning,Digital learning production,creating digital learning content,2,3.0,market_phrase
Learning design & digital learning,Digital learning production,design and elearning development,2,2.0,market_phrase
Learning design & digital learning,Digital learning production,driven elearning,2,2.5,market_phrase
Learning design & digital learning,Digital learning production,driven elearning aligned,2,2.5,market_phrase
Learning design & digital learning,Digital learning production,elearning aligned,2,2.5,market_phrase
Learning design & digital learning,Digital learning production,engaging digital experiences,2,2.0,market_phrase
Learning design & digital learning,Digital learning production,outcome driven elearning,2,2.5,market_phrase
Learning design & digital learning,Digital learning production,outcome driven elearning aligned,2,2.5,market_phrase
Learning design & digital learning,Digital learning production,alongside courseware and media,1,2.0,market_phrase
Learning design & digital learning,Digital learning production,courseware and media development,1,2.0,market_phrase
Learning design & digital learning,Digital learning production,creating digital learning multi,1,1.0,market_phrase
Learning design & digital learning,Digital learning production,designing engaging digital,1,1.0,market_phrase
Learning design & digital learning,Digital learning production,designing engaging digital experiences,1,1.0,market_phrase
Learning design & digital learning,Digital learning production,elearning aligned to business,1,0.5,market_phrase
Learning design & digital learning,Digital learning production,elearning aligned with business,1,2.0,market_phrase
Learning design & digital learning,Digital learning production,engaging digital learning,1,1.0,market_phrase
Learning design & digital learning,Digital learning production,engaging digital learning experiences,1,1.0,market_phrase
Learning design & digital learning,Digital learning production,facilitate engaging digital,1,1.0,market_phrase
Learning design & digital learning,Digital learning production,facilitate engaging digital learning,1,1.0,market_phrase
Learning design & digital learning,Digital learning production,ideas into engaging digital,1,1.0,market_phrase
Learning design & digital learning,Digital learning production,support courseware and media,1,2.0,market_phrase
Learning design & digital learning,Instructional design,instructional design,17,21.5,market_phrase
Learning design & digital learning,Instructional design,learning principles,3,4.0,market_phrase
Learning design & digital learning,Instructional design,design expertise,2,3.0,market_phrase
Learning design & digital learning,Instructional design,design process,2,3.0,market_phrase | taxonomy_match
Learning design & digital learning,Instructional design,instructional design and elearning,2,2.0,market_phrase
Learning design & digital learning,Instructional design,learning theories,2,3.0,market_phrase
Learning design & digital learning,Instructional design,adult learning theories,1,1.0,market_phrase
Learning design & digital learning,Instructional design,cutting edge instructional design,1,1.0,market_phrase
Learning design & digital learning,Instructional design,design expertise analysis,1,1.0,market_phrase
Learning design & digital learning,Instructional design,edge instructional design,1,1.0,market_phrase
Learning design & digital learning,Instructional design,end learning design expertise,1,1.0,market_phrase
Learning design & digital learning,Instructional design,experienced instructional designer,1,1.0,market_phrase
Learning design & digital learning,Instructional design,experienced technical instructional designer,1,1.0,market_phrase
Learning design & digital learning,Instructional design,instructional design ability,1,0.5,market_phrase
Learning design & digital learning,Instructional design,instructional design and content,1,1.0,market_phrase
Learning design & digital learning,Instructional design,instructional design and eauthoring,1,1.0,market_phrase
Learning design & digital learning,Instructional design,instructional design expertise,1,2.0,market_phrase
Learning design & digital learning,Instructional design,instructional design learning,1,1.0,market_phrase
Learning design & digital learning,Instructional design,instructional design learning design,1,1.0,market_phrase
Learning design & digital learning,Instructional design,instructional design principles,1,2.0,market_phrase
Learning design & digital learning,Instructional design,instructional design process,1,2.0,market_phrase
Learning design & digital learning,Instructional design,instructional design skills,1,2.0,market_phrase
Learning design & digital learning,Instructional design,instructional design theories,1,2.0,market_phrase
Learning design & digital learning,Instructional design,instructional designer to help,1,1.0,market_phrase
Learning design & digital learning,Instructional design,instructional designer who,1,1.0,market_phrase
Learning design & digital learning,Instructional design,instructional designer who enjoys,1,1.0,market_phrase
Learning design & digital learning,Instructional design,learning design expertise,1,1.0,market_phrase
Learning design & digital learning,Instructional design,learning design expertise analysis,1,1.0,market_phrase
Learning design & digital learning,Instructional design,learning theories and instructional,1,1.0,market_phrase
Learning design & digital learning,Instructional design,learning theories psychology,1,2.0,market_phrase
Learning design & digital learning,Instructional design,neuroscience and learning theories,1,2.0,market_phrase
