heading,subskill,canonical_phrase,canonical_jd_freq,canonical_weighted_score,source_phrase_count,source_phrases,source_type_mix
Learning design & digital learning,Digital learning production,engaging digital learning experiences,4,4.0,9,engaging digital | engaging digital experiences | designing engaging digital | designing engaging digital experiences | engaging digital learning | engaging digital learning experiences | facilitate engaging digital | facilitate engaging digital learning | ideas into engaging digital,market_phrase
Learning design & digital learning,Digital learning production,creating digital learning content,3,4.0,3,creating digital learning | creating digital learning content | creating digital learning multi,market_phrase
Learning design & digital learning,Digital learning production,elearning development,3,3.0,2,elearning development | design and elearning development,market_phrase
Learning design & digital learning,Digital learning production,courseware and media,2,3.0,4,courseware and media | alongside courseware and media | courseware and media development | support courseware and media,market_phrase
Learning design & digital learning,Digital learning production,outcome-driven elearning,2,2.5,7,driven elearning | driven elearning aligned | elearning aligned | elearning aligned to business | elearning aligned with business | outcome driven elearning | outcome driven elearning aligned,market_phrase
Learning design & digital learning,Instructional design,instructional design,18,21.5,20,instructional design | instructional design and elearning | cutting edge instructional design | edge instructional design | experienced instructional designer | experienced technical instructional designer | instructional design ability | instructional design and content | instructional design and eauthoring | instructional design expertise | instructional design learning | instructional design learning design | instructional design principles | instructional design process | instructional design skills | instructional design theories | qualification in instructional design | technical instructional designer | ui and instructional design | ux and instructional design,market_phrase
Learning design & digital learning,Instructional design,learning principles,3,4.0,1,learning principles,market_phrase
Learning design & digital learning,Instructional design,design expertise,2,3.0,5,design expertise | design expertise analysis | end learning design expertise | learning design expertise | learning design expertise analysis,market_phrase
Learning design & digital learning,Instructional design,design process,2,3.0,1,design process,market_phrase | taxonomy_match
Learning design & digital learning,Instructional design,learning theories,2,3.0,5,learning theories | adult learning theories | learning theories and instructional | learning theories psychology | neuroscience and learning theories,market_phrase
Learning design & digital learning,Learning architecture & programme design,learning programmes,5,5.75,8,learning programmes | end learning programmes | enhance our learning programmes | essential learning programmes | learning programmes across industries | overseeing essential learning programmes | structured learning programmes | support learning programmes,market_phrase
Learning design & digital learning,Learning architecture & programme design,end-to-end learning design,4,4.0,1,end to end learning,market_phrase
Learning design & digital learning,Learning architecture & programme design,learning products,4,6.0,6,learning products | b2b learning products | curriculum learning products | developing new learning products | digital learning products | new learning products,market_phrase
Learning design & digital learning,Learning architecture & programme design,scenario-based learning,2,3.0,1,scenario based learning,market_phrase
Learning design & digital learning,Learning architecture & programme design,learning journeys,1,2.0,1,learning journeys,market_phrase
Learning design & digital learning,Learning architecture & programme design,programme design,1,1.0,3,approach to programme design | programme design | programme design and cultural,market_phrase
Learning design & digital learning,Learning needs analysis,learning needs analysis,4,4.0,7,learning needs | assess learning needs | achieve client learning needs | client learning needs | learning needs and define | learning needs through designing | support learning needs,market_phrase
Learning design & digital learning,Learning needs analysis,learner-centred design,2,2.0,5,learner centred | learner centred design | learner centred digital | learner centred digital learning | principles and learner centred,market_phrase
Stakeholder management & collaboration,Business alignment,business goals alignment,5,5.5,7,business goals | aligned to business goals | aligned with business goals | alignment with business goals | high level business goals | level business goals | needs and business goals,market_phrase
Stakeholder management & collaboration,Client relationship management,client engagement,4,3.0,5,clients at all levels | communicate with clients | confidence to engage clients | engage clients | engage clients at all,market_phrase
Stakeholder management & collaboration,Client relationship management,client relationships,3,3.0,7,client relationships | client relationships whilst | client relationships whilst collaborating | manage senior client relationships | managing client relationships | portfolio of client relationships | senior client relationships,market_phrase | taxonomy_match
Stakeholder management & collaboration,Cross-functional collaboration,cross-functional collaboration,9,10.5,14,cross functional | cross functional teams | cross functional collaboration | collaborate with cross functional | collaborative and cross functional | cross functional and global | cross functional industries | cross functional work | cross functional work experience | cross functional working | cross functional working skills | cross functionally | cross functionally with global | smes and cross functional,market_phrase
Stakeholder management & collaboration,Performance consulting,business needs analysis,2,3.0,4,business needs | language and business needs | larger business needs | solving larger business needs,market_phrase
Stakeholder management & collaboration,Performance consulting,business objectives,2,3.0,2,business objectives | understand business objectives,market_phrase
Stakeholder management & collaboration,Performance consulting,client challenge translation,2,2.0,4,client challenges | client challenges into exciting | loves turning client challenges | turning client challenges,market_phrase
Stakeholder management & collaboration,Performance consulting,subject matter expertise,2,4.0,2,matter expertise | matter expertise in python,market_phrase
Stakeholder management & collaboration,SME collaboration,subject matter experts,8,6.0,10,matter experts | subject matter experts | matter experts smes | matter experts to create | matter experts to gather | matter experts to map | matter experts to simplify | subject matter expert | subject matter experts smes | submarine subject matter expert,market_phrase
Stakeholder management & collaboration,SME collaboration,SME collaboration,2,2.0,3,collaborating with subject | collaborating with subject matter | smes collaborating with subject,market_phrase
Stakeholder management & collaboration,Stakeholder management,stakeholder management,8,8.5,1,stakeholder management,taxonomy_match
Stakeholder management & collaboration,Stakeholder management,stakeholder engagement,5,6.0,3,stakeholder engagement | collaboration and stakeholder engagement | stakeholder engagement skilled,market_phrase
Stakeholder management & collaboration,Stakeholder management,senior stakeholders,4,6.0,4,senior stakeholders | closely with senior stakeholders | collaboratively with senior stakeholders | senior stakeholders to understand,market_phrase
Stakeholder management & collaboration,Stakeholder management,external stakeholders,3,4.0,3,external stakeholders | internal and external stakeholders | managing external stakeholders,market_phrase
Stakeholder management & collaboration,Stakeholder management,internal stakeholders,3,4.0,4,internal stakeholders | clients and internal stakeholders | collaborate with internal stakeholders | internal stakeholders and subject,market_phrase
Stakeholder management & collaboration,Stakeholder management,technical stakeholders,3,3.0,4,technical stakeholders | non technical stakeholders | senior technical stakeholders | technical stakeholders and user,market_phrase
Strategy & capability development,Capability development,capability building,4,2.0,9,build capability | build capability across its | capability building | designed to build capability | capability building across product | capability building and organisational | strategic capability building | support capability building | support strategic capability building,market_phrase
Strategy & capability development,Capability development,capability development,3,3.0,3,capability development | capability development frameworks | foster capability development,market_phrase
Strategy & capability development,Leadership & talent development,leadership development,4,6.0,9,leadership development | areas like leadership development | delivering leadership development | delivering leadership development programmes | lead leadership development | leadership development experience | leadership development experience slt | leadership development programmes | like leadership development,market_phrase
Strategy & capability development,Leadership & talent development,talent development,4,5.0,4,talent development | skills and talent development | talent development company | talent development programs,market_phrase
Strategy & capability development,Leadership & talent development,development programmes,3,4.0,6,development programmes | academic development programmes | commercial development programmes | delivering academic development programmes | development programmes and cpd | supporting commercial development programmes,market_phrase
Strategy & capability development,Leadership & talent development,career development,2,3.0,4,career development | business services career development | career development initiatives | services career development,market_phrase
Strategy & capability development,Learning strategy,learning strategy,4,3.0,4,l and d strategy | learning strategy | future proofed learning strategy | leadership and learning strategy,market_phrase | taxonomy_match
Strategy & capability development,Learning strategy,strategic goals,2,2.0,2,strategic goals | align strategic goals,market_phrase
Strategy & capability development,Learning strategy,strategic mindset,1,1.0,1,strategic mindset,market_phrase
Strategy & capability development,Organisational development & learning culture,continuous learning culture,3,2.0,2,culture of continuous learning | culture of continuous development,market_phrase
Strategy & capability development,Organisational development & learning culture,learning culture,2,2.0,1,strengthen culture,market_phrase
Strategy & capability development,Organisational development & learning culture,organisational development,2,2.0,1,organisational development,market_phrase
Strategy & capability development,Product strategy & product development,product development,3,4.0,5,product development | future product development | product development context | product development including | product development including ai,market_phrase
Strategy & capability development,Product strategy & product development,product strategy,2,2.0,3,product strategy | learning product strategy | line with product strategy,market_phrase
Strategy & capability development,Product strategy & product development,software development,2,3.0,2,software development | software development processes,market_phrase
Strategy & capability development,Product strategy & product development,agile/scrum development,1,1.0,2,agile scrum development methodologies | scrum development methodologies,market_phrase
Learning platforms & learning tech,Emerging learning technology,emerging technologies,3,3.0,4,emerging technologies | emerging technologies and digital | both emerging technologies | familiarity with emerging technologies,market_phrase
Learning platforms & learning tech,Emerging learning technology,new technologies,3,3.0,5,new technologies | about exploring new technologies | confidence in new technologies | explore new technologies | exploring new technologies,market_phrase
Learning platforms & learning tech,Emerging learning technology,technology stacks,2,3.0,3,technology stacks | learning technology stacks | talent technology stacks,market_phrase
