heading,subskill,jd_freq,pct_of_jds,weighted_score,member_phrase_count,member_phrases,source_type_mix,example_files
Learning design & digital learning,Instructional design,22,0.22,73.5,36,instructional design | learning principles | design expertise | design process | learning theories | instructional design and elearning | instructional design expertise | instructional design principles | instructional design process | instructional design skills | instructional design theories | learning theories psychology,market_phrase | taxonomy_match,Digital Learning Specialist (LONDON) job advert.docx | ELEARN~1.docx | ID Job advert.docx | Instructional Designer AD.docx | Instructional Designer Job Advert .docx
Learning design & digital learning,Learning architecture & programme design,16,0.16,45.5,23,learning programmes | learning products | end to end learning | scenario based learning | accuratelearning journeys | b2b learning products | developing new learning products | essential learning programmes | learning journeys | new learning products | overseeing essential learning programmes | technically accuratelearning journeys,market_phrase,2026 LMS and Digital Learning Lead JD and PS.pdf | AWS - Technical Instructional Designer.docx | CFA job ad .docx | Delivery Manager Job Ad.docx | Instructional Designer Job Advert .docx
Learning design & digital learning,Digital learning production,11,0.11,50.0,25,engaging digital | creating digital learning | elearning development | courseware and media | creating digital learning content | driven elearning | driven elearning aligned | elearning aligned | outcome driven elearning | outcome driven elearning aligned | design and elearning development | engaging digital experiences,market_phrase,Clyde and Co Digital Developer .pdf | Digital Learning Designer .docx | ELEARN~1.docx | ID Job advert.docx | JD_Digital_Designer_Anonymised_headerless.docx
Learning design & digital learning,Learning needs analysis,6,0.06,18.0,13,learning needs | assess learning needs | learner centred | achieve client learning needs | client learning needs | learner centred design | learner centred digital | learner centred digital learning | learning needs and define | learning needs the role | learning needs through designing | principles and learner centred,market_phrase,AS L+D consultant AD.docx | CMS consultant AD.docx | Docebo Implementation Consultant Job Ad.docx | Head of Product Management and Development Role Profile.pdf | Learning Designer .docx
Stakeholder management & collaboration,Stakeholder management,22,0.22,55.5,22,stakeholder management | stakeholder engagement | senior stakeholders | external stakeholders | internal stakeholders | technical stakeholders | clients and internal stakeholders | internal and external stakeholders | non technical stakeholders | collaboratively with senior stakeholders | managing external stakeholders | senior stakeholders to understand,market_phrase | taxonomy_match,Aurion Learning - Lead Learning Designer (Jan2025).docx | Development Manager Job Description - 2025.pdf | Digital Learning Designer Job Advert .docx | Digital Learning Specialist (LONDON) job advert.docx | ELEARN~1.docx
Stakeholder management & collaboration,Cross-functional collaboration,11,0.11,33.5,17,cross functional | cross functional teams | collaborating with subject | collaborating with subject matter | cross functional collaboration | collaborate with cross functional | cross functional industries | collaborative and cross functional | cross functional and global | cross functional work | cross functional work experience | cross functional working,market_phrase,Digital Adoption Manager - Linklaters.docx | Digital Learning Designer job spec.docx | ELEARN~1.docx | Europe Digital - digital consultant_final (Senior Business Analyst).pdf | HR-Head of Learning - Job Spec.pdf
Stakeholder management & collaboration,SME collaboration,8,0.08,39.0,16,matter experts | subject matter experts | matter expertise | subject matter expertise | matter expertise in python | matter expertise strong | matter expertise strong background | matter experts to gather | subject matter expert | subject matter expertise strong | submarine subject matter expert | matter experts smes,market_phrase,Digital Learning Designer job spec.docx | ID Job advert.docx | Instructional Designer Job Advert .docx | Learning Designer .docx | Marine Engineering SME .docx
Stakeholder management & collaboration,Client relationship management,7,0.07,20.0,12,client relationships | communicate with clients | clients at all levels | confidence to engage clients | engage clients | engage clients at all | client relationships whilst | client relationships whilst collaborating | manage senior client relationships | managing client relationships | portfolio of client relationships | senior client relationships,market_phrase | taxonomy_match,AS L+D consultant AD.docx | Digital Learning PM.docx | Learning Experience Designer Job Ad.pdf | Medex.docx | Pre Sales Learning Designer Job Advert .docx
Stakeholder management & collaboration,Performance consulting,6,0.06,20.0,10,business needs | business objectives | client challenges | client challenges into exciting | loves turning client challenges | turning client challenges | language and business needs | understand business objectives | larger business needs | solving larger business needs,market_phrase,AWS - Technical Instructional Designer.docx | JD_Digital_Designer_Anonymised_headerless.docx | LMS Consultant.docx | Learning Tech Consultant.docx | Pre Sales Learning Designer Job Advert .docx
Stakeholder management & collaboration,Business alignment,5,0.05,13.0,8,business goals | aligned with business goals | alignment with business goals | business goals and delivering | high level business goals | level business goals | needs and business goals | aligned to business goals,market_phrase,Digital Learning Designer .docx | ELEARN~1.docx | HR-Head of Learning - Job Spec.pdf | Spirax Sarco - Learning Data Analyst.docx | e-Learning Manager - WDT Job Spec.pdf
